"BehaviorSpace results (NetLogo 6.2.1)"
"YEAR_MODELS_8x12_death_Space_Time_EVENHabitat_Nov19Final.nlogo"
"YEAR5_MODELS"
"11/30/2021 16:45:23:087 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","7","0","11"
"[run number]","Predator-Strategy","Prey-Starting-Condition","Predator-Starting-Condition","Detection-prob-black","Detection-prob-white","[step]","ticks","[nearby] of preys","mapAware-table [1] of one-of patches","hour-map-prey [1]","[p-black] of one-of preys","[p-white] of one-of preys","[domain-overlap] of one-of preys","[domain-prey] of one-of preys"
"24","Sit-and-Wait","Small","Small","0.55","0.55","584","584","[10]","[[0 1] [1 0] [2 0] [3 1] [4 0] [5 1] [6 1] [7 1] [8 1] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 16] [1 16] [2 10] [3 11] [4 14] [5 12] [6 9] [7 17] [8 17] [9 9] [10 13] [11 10] [12 15] [13 12] [14 8] [15 16] [16 13] [17 15] [18 11] [19 11] [20 10] [21 10] [22 9] [23 9]]","119","174","293","0"
"25","Sit-and-Wait","Small","Small","0.55","0.55","4068","4068","[41]","[[0 2] [1 3] [2 1] [3 6] [4 1] [5 2] [6 3] [7 2] [8 3] [9 1] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 35] [1 19] [2 102] [3 21] [4 103] [5 79] [6 77] [7 87] [8 88] [9 96] [10 98] [11 91] [12 98] [13 87] [14 101] [15 108] [16 93] [17 93] [18 91] [19 94] [20 88] [21 88] [22 99] [23 97]]","1163","870","2033","0"
"26","Sit-and-Wait","Small","Small","0.55","0.55","2165","2165","[14]","[[0 3] [1 0] [2 1] [3 0] [4 0] [5 0] [6 1] [7 1] [8 0] [9 2] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 37] [1 47] [2 49] [3 51] [4 45] [5 42] [6 45] [7 48] [8 45] [9 30] [10 52] [11 49] [12 41] [13 49] [14 42] [15 45] [16 48] [17 41] [18 51] [19 48] [20 42] [21 49] [22 46] [23 41]]","482","601","1083","0"
"22","Sit-and-Wait","Small","Small","0.55","0.55","13279","13279","[75]","[[0 4] [1 2] [2 4] [3 6] [4 3] [5 3] [6 3] [7 6] [8 5] [9 3] [10 3] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 42] [1 384] [2 63] [3 48] [4 390] [5 127] [6 98] [7 25] [8 135] [9 283] [10 390] [11 113] [12 380] [13 363] [14 379] [15 374] [16 387] [17 385] [18 373] [19 359] [20 378] [21 373] [22 384] [23 405]]","3881","2757","6638","0"
"23","Sit-and-Wait","Small","Small","0.55","0.55","22277","22277","[164]","[[0 8] [1 9] [2 6] [3 11] [4 9] [5 7] [6 9] [7 8] [8 4] [9 7] [10 6] [11 9] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 357] [1 140] [2 11] [3 6] [4 152] [5 178] [6 93] [7 728] [8 284] [9 103] [10 253] [11 204] [12 736] [13 719] [14 725] [15 710] [16 730] [17 703] [18 718] [19 705] [20 724] [21 712] [22 725] [23 720]]","6049","5087","11136","0"
"21","Sit-and-Wait","Small","Small","0.55","0.55","27106","27106","[255]","[[0 17] [1 16] [2 13] [3 14] [4 14] [5 10] [6 8] [7 10] [8 9] [9 10] [10 12] [11 13] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 43] [1 133] [2 154] [3 158] [4 132] [5 106] [6 812] [7 502] [8 103] [9 255] [10 53] [11 59] [12 933] [13 918] [14 911] [15 912] [16 911] [17 910] [18 911] [19 909] [20 918] [21 922] [22 934] [23 949]]","6375","7173","13548","0"
"28","Sit-and-Wait","Small","Small","0.55","0.55","8768","8768","[103]","[[0 5] [1 3] [2 5] [3 5] [4 8] [5 9] [6 4] [7 5] [8 3] [9 1] [10 1] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 150] [1 124] [2 192] [3 67] [4 53] [5 38] [6 226] [7 51] [8 224] [9 224] [10 244] [11 184] [12 230] [13 219] [14 206] [15 221] [16 212] [17 204] [18 211] [19 211] [20 226] [21 215] [22 226] [23 223]]","2639","1742","4381","0"
"30","Sit-and-Wait","Small","Small","0.55","0.55","4178","4178","[41]","[[0 2] [1 3] [2 1] [3 2] [4 0] [5 0] [6 1] [7 1] [8 1] [9 3] [10 3] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 92] [1 73] [2 89] [3 83] [4 92] [5 96] [6 91] [7 101] [8 94] [9 95] [10 75] [11 38] [12 101] [13 101] [14 86] [15 84] [16 99] [17 78] [18 91] [19 81] [20 83] [21 92] [22 85] [23 89]]","1069","1020","2089","0"
"29","Sit-and-Wait","Small","Small","0.55","0.55","6465","6465","[72]","[[0 2] [1 6] [2 6] [3 3] [4 3] [5 3] [6 4] [7 4] [8 2] [9 1] [10 0] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 120] [1 59] [2 89] [3 83] [4 74] [5 73] [6 112] [7 153] [8 148] [9 162] [10 148] [11 157] [12 161] [13 150] [14 145] [15 165] [16 141] [17 154] [18 163] [19 164] [20 150] [21 149] [22 152] [23 157]]","1255","1974","3229","0"
"32","Sit-and-Wait","Small","Small","0.55","0.55","21321","21321","[169]","[[0 9] [1 9] [2 3] [3 8] [4 8] [5 7] [6 7] [7 9] [8 9] [9 4] [10 6] [11 8] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 186] [1 195] [2 408] [3 72] [4 19] [5 20] [6 143] [7 136] [8 647] [9 649] [10 315] [11 88] [12 666] [13 629] [14 658] [15 644] [16 658] [17 674] [18 656] [19 605] [20 647] [21 652] [22 658] [23 632]]","5767","4890","10657","0"
